,Index,entropy,maximum,homogenity,dissimilarity,HGLRE,ZLNU,SZHGE,ZP
0,001-026 l1,4.910992253015104,5930.08349609375,0.06833792723455132,34.81620940020261,5760.317839023722,31.060606060606062,5789.371212121212,0.9705882352941176
1,001-026 l2,5.7642830477530165,4326.26318359375,0.09946113623719519,21.474558163736592,3536.0922370801895,69.63291139240506,3627.1708860759495,0.9404761904761905
2,001-026 l3,4.936286231168892,3851.728515625,0.09048124237822701,24.94612272738703,2583.146994182288,32.05882352941177,2614.5882352941176,0.9714285714285714
3,001-026 l4,4.058813890331277,5007.67333984375,0.05896314845299907,41.482808857808855,2476.444444444445,18.0,2476.4444444444443,1.0
4,001-026 l5,4.057476076289938,1421.47119140625,0.20002605218075936,9.192310370492676,304.9552447552448,19.0,280.92414529914527,0.7647058823529411
5,001-026 l6,5.395222344071092,6416.34814453125,0.0788508898760601,32.457158726468194,5738.513311093669,40.391304347826086,5846.222826086957,0.9387755102040817
6,001-026 l7,5.443856189774801,9345.6669921875,0.045000452760635426,79.82858394614033,27747.702040816323,41.38297872340426,28211.537234042553,0.94
7,001-052 l1,4.550952609504625,2222.12890625,0.1655619599085802,11.468726935722053,489.18717948717944,21.266666666666666,470.89814814814815,0.8108108108108109
8,001-060 l2,4.470552098557408,1269.5379638671875,0.2635948631902882,5.476011373143616,259.7815155495103,22.441860465116278,239.2693798449612,0.6615384615384615
9,001-060 l3,5.272773364479276,7199.29150390625,0.04481768192120931,58.564665298864355,13812.303636839353,46.041666666666664,13801.651041666666,0.9795918367346939
10,001-060 l4,3.726737473412389,829.1318969726562,0.3011678212050666,4.2561539909366,179.15042141602862,11.434782608695652,116.30917874396137,0.6764705882352942
11,017-012 l1,7.067501459592071,20970.537109375,0.12745723750922108,35.26264792127194,15803.826954168266,359.9916317991632,17780.25259667661,0.8115449915110357
12,017-012 l2,8.495053860657052,33304.37890625,0.04648977482418293,132.47117711629443,393627.0658859428,490.7373358348968,404561.2000208463,0.9586330935251799
13,019-013 l1,-0.0,0.0,1.0,0.0,1.0,1.0,0.0013717421124828531,0.037037037037037035
14,019-013 l2,-0.0,0.0,1.0,0.0,1.0,1.2857142857142858,0.29043933483856543,0.0036231884057971015
15,019-013 l3,-0.0,0.0,1.0,0.0,1.0,1.0,0.08651332433799964,0.07317073170731707
16,024-003 l1,5.84719435397229,2956.29296875,0.19246591401942967,9.316722801604374,1698.4335343460937,230.99529411764706,1430.4683494597837,0.6821829855537721
17,024-003 l2,6.1530315960295425,5303.61181640625,0.07515916797974795,32.250700244465335,9283.784601556388,89.23076923076923,9032.278846153846,0.9285714285714286
18,024-003 l3,4.756650266752591,2159.09033203125,0.2351574080654858,6.8219831190508975,389.891531831953,54.722772277227726,353.24182825935657,0.6234567901234568
19,024-003 l4,3.395839436820283,653.2632446289062,0.5395354902781889,1.942697107363073,57.25766489154069,21.72340425531915,116.81448732297945,0.19831223628691982
20,024-003 l5,-0.0,22.144515991210938,1.0,0.0,1.0,1.0,0.00036504610914014007,0.015748031496062992
21,024-003 l6,5.651448176371382,2513.402587890625,0.20255490498794437,8.170039234438155,902.2958701328704,135.72072072072072,929.0067655155154,0.6851851851851852
22,024-003 l7,6.134156404654628,4860.72119140625,0.12978100303726878,16.437933723013064,4225.071128418916,122.00591715976331,4035.4647024983565,0.8164251207729468
23,024-003 l8,4.107218173944546,1555.6522216796875,0.26165939840866237,5.8273554901494276,176.61150129470954,13.148148148148149,169.56009259259258,0.6428571428571429
24,024-003 l9,6.6768030402044705,16691.4296875,0.1431562688564139,16.768699692030943,6334.438017654449,522.3016688061617,6759.393308794635,0.7758964143426295
25,050-004 l1,4.809153522439334,1288.0,0.20593972901388827,7.917199818050947,288.1508920899648,54.38461538461539,257.78217948717946,0.8125
26,050-004 l2,4.9611665693583085,1675.0,0.31935025654983273,6.007176370854793,773.5587638889649,32.47540983606557,859.0259209694807,0.5700934579439252
27,050-004 l3,-0.0,6.0,1.0,0.0,1.0,1.0,0.00011317338162064282,0.010638297872340425
